Feat1,Feat2,Feat3,RMSE,MAE,MAPE_pct,R2
BandE_0k_5k,Duration_s,SpectralCentroid_Hz,74.4336323832469,63.7126262950824,26.0211293400658,0.197592113499352
BandE_0k_5k,MainFreq_Hz,Crest,74.6163135464274,65.7339257884765,26.689671654783,0.193648608886829
PeakToPeak,BandE_0k_5k,Kurtosis,74.6644680722372,61.6850891549969,25.3166996977789,0.192607496117814
BandE_5k_10k,BandE_0k_5k,ZeroCrossRate_Hz,74.8602828704647,62.5548738998375,24.5251316388188,0.188367012797718
PeakAmp,BandE_5k_10k,Crest,74.8704259030326,59.2332861169735,23.4866878829421,0.188147056975389
PeakAmp,MainFreq_Hz,SpectralCentroid_Hz,74.8709978363827,65.5763855408336,26.0444530509385,0.188134653478509
PeakAmp,PeakToPeak,Crest,75.1385802586861,58.8395329079121,23.6717473958937,0.182321211630216
BandE_5k_10k,TotalEnergy,BandE_0k_5k,75.437941526748,66.0038739934011,26.3109555689513,0.175792768385646
PeakAmp,BandE_0k_5k,Crest,75.6061879408342,62.5822966062713,24.606804435703,0.17211227171443
BandE_5k_10k,PeakToPeak,BandE_0k_5k,75.6710370397719,62.4682491583361,24.8557710790828,0.170691467432168
PeakAmp,BandE_5k_10k,Duration_s,75.7859421683872,65.120980551001,26.6572730268719,0.168170974604674
PeakAmp,TotalEnergy,Crest,75.87092141393,59.3173328724233,23.7968242981028,0.16630445866426
BandE_5k_10k,PeakToPeak,SpectralCentroid_Hz,75.9908004640893,60.7353511494867,23.8905624237014,0.163667833606783
PeakAmp,BandE_5k_10k,PeakToPeak,76.1437453960147,63.2557213534846,25.1995030542506,0.160297912800273
TotalEnergy,MainFreq_Hz,Crest,76.1575766507703,64.7691695172106,26.4274755939851,0.159992826985001
BandE_5k_10k,PeakToPeak,MainFreq_Hz,76.2540137683812,61.4695843462017,24.2333142175168,0.157864104838465
BandE_0k_5k,MainFreq_Hz,SpectralCentroid_Hz,76.4279293958056,67.2795085429065,27.2362108235163,0.154018337129996
BandE_5k_10k,BandE_0k_5k,MainFreq_Hz,76.5832692669299,66.8410606217833,27.1233003236763,0.150575924551645
PeakAmp,Duration_s,MainFreq_Hz,76.7452694308179,66.7001854819955,27.3580597564876,0.146978470856167
Duration_s,MainFreq_Hz,Crest,76.7593984195485,64.7163042240827,26.9527072078867,0.146664355312805
PeakToPeak,MainFreq_Hz,SpectralCentroid_Hz,77.5068394210697,61.3894593797834,25.2795631126743,0.129964813013222
PeakToPeak,Crest,SpectralCentroid_Hz,77.614809848859,63.2978628954675,25.6451215035663,0.127539130274504
TotalEnergy,Kurtosis,ZeroCrossRate_Hz,77.7286193456168,63.9346777747375,25.0942353385762,0.124978610388842
PeakAmp,PeakToPeak,MainFreq_Hz,77.8403877378527,64.9212008277987,25.3708321356198,0.122460360371078
BandE_5k_10k,TotalEnergy,SpectralCentroid_Hz,78.0179041792578,64.9809539815815,26.6921165624307,0.11845330579369
BandE_5k_10k,MainFreq_Hz,SpectralCentroid_Hz,78.1674537398527,67.4082513134414,26.6380593361787,0.115070459847504
PeakToPeak,ZeroCrossRate_Hz,SpectralCentroid_Hz,78.3528909698081,60.5294335845259,24.2865342619479,0.110866829787446
PeakAmp,TotalEnergy,PeakToPeak,78.7081920444126,66.226861213412,26.2433674757632,0.10278477349714
PeakToPeak,ZeroCrossRate_Hz,Crest,78.8726109155495,62.2392207092014,24.4245502627309,0.099032350980354
BandE_5k_10k,BandE_0k_5k,Kurtosis,78.8936353628308,67.6322286435919,27.4727016634512,0.0985519593393333
BandE_5k_10k,BandE_0k_5k,Crest,78.9223319412012,64.4983613862338,25.5592600603262,0.0978960590529649
Duration_s,MainFreq_Hz,SpectralCentroid_Hz,79.0661293319276,67.1057204013409,27.8139959283481,0.0946057769359633
BandE_5k_10k,MainFreq_Hz,Crest,79.137513634537,65.5794449306457,26.3705811194465,0.0929701812253694
BandE_5k_10k,Kurtosis,Crest,79.487167919388,64.777683705657,26.353491418596,0.0849373918430278
Duration_s,ZeroCrossRate_Hz,SpectralCentroid_Hz,79.6129619961815,66.9915889458864,27.8034237683622,0.0820387971779276
BandE_0k_5k,ZeroCrossRate_Hz,Crest,79.9659102929686,69.9430896956146,27.7030808142777,0.0738815571015217
PeakAmp,TotalEnergy,ZeroCrossRate_Hz,80.0707898458261,67.2448402163147,24.8994156284146,0.0714506566341541
BandE_5k_10k,TotalEnergy,Crest,80.1865187546559,67.7958830336893,27.5464482747127,0.0687645919600757
PeakAmp,BandE_5k_10k,MainFreq_Hz,80.2560528606155,69.6513882295502,28.0817925426909,0.0671488416367589
Duration_s,MainFreq_Hz,Kurtosis,80.8472489793176,67.0684882371618,28.9938328953941,0.05335476045067
BandE_0k_5k,MainFreq_Hz,Kurtosis,80.9343221001668,69.0589856210756,28.6559908704753,0.0513145737074068
PeakToPeak,BandE_0k_5k,ZeroCrossRate_Hz,81.0801346220537,61.8260177636575,24.7582843070143,0.0478931618807464
BandE_5k_10k,ZeroCrossRate_Hz,SpectralCentroid_Hz,81.1575717006381,66.2739166969417,27.1799806414273,0.0460736390047899
BandE_5k_10k,TotalEnergy,Kurtosis,81.4941645231861,68.6371291302801,28.5033178729552,0.0381446043402608
PeakAmp,BandE_0k_5k,SpectralCentroid_Hz,81.5174076356255,70.2224058584627,27.9266274811041,0.0375958607237007
BandE_0k_5k,Kurtosis,SpectralCentroid_Hz,81.6518063484684,69.2423947409826,28.0442712855014,0.0344197905235759
BandE_0k_5k,Kurtosis,Crest,81.9462707264959,70.4402812143443,28.7376648422026,0.0274428066112844
PeakToPeak,MainFreq_Hz,ZeroCrossRate_Hz,82.274913701009,60.9614565350768,25.1068087260547,0.019626343279334
PeakAmp,Crest,SpectralCentroid_Hz,82.4071980247119,66.6144190358418,26.8535529480235,0.0164712545968891
Duration_s,MainFreq_Hz,ZeroCrossRate_Hz,82.4172978157505,70.2083647807386,29.2962904863011,0.0162301580964401
TotalEnergy,BandE_0k_5k,Crest,82.4219665635836,69.131142481077,29.4128447235558,0.0161186984021759
BandE_0k_5k,Duration_s,ZeroCrossRate_Hz,82.7586047832387,68.9663570911829,27.5308202160203,0.00806530068237088
TotalEnergy,Crest,SpectralCentroid_Hz,83.5902293305877,68.3955476930774,28.5081319413574,-0.011970367175941
PeakAmp,ZeroCrossRate_Hz,SpectralCentroid_Hz,83.6301858092841,64.0053537531671,25.577070243815,-0.0129380505221031
TotalEnergy,ZeroCrossRate_Hz,SpectralCentroid_Hz,84.170385916953,67.2042142888247,27.9462234658702,-0.026066240861639
BandE_5k_10k,PeakToPeak,Crest,84.2119070746042,65.6200497706234,27.3315475176096,-0.0270788052167246
PeakAmp,Kurtosis,ZeroCrossRate_Hz,84.3607409384304,67.1667956086155,27.8671055584273,-0.0307124764232996
PeakToPeak,BandE_0k_5k,MainFreq_Hz,84.6807380061792,68.4911854667514,27.4190922079498,-0.0385467014982517
Kurtosis,ZeroCrossRate_Hz,Crest,84.7125288104395,74.4311768532167,31.0361182655147,-0.039326629334262
BandE_5k_10k,PeakToPeak,ZeroCrossRate_Hz,84.9491118185585,69.3868430670533,26.9598128590003,-0.0451399459090318
PeakToPeak,MainFreq_Hz,Crest,85.538833073007,68.0772763616589,27.4551129111387,-0.0597011476350391
PeakToPeak,BandE_0k_5k,Crest,87.4831026762882,69.7703514286634,29.1912984728082,-0.108421948114045
Duration_s,ZeroCrossRate_Hz,Crest,87.6425621412412,76.0136177425892,31.5902249261327,-0.112466373815894
MainFreq_Hz,Kurtosis,ZeroCrossRate_Hz,88.0828233973524,77.283756124855,31.9656230591387,-0.123671112573574
Duration_s,Crest,SpectralCentroid_Hz,88.421605847168,74.8552282394746,31.965847498829,-0.132331419310273
BandE_5k_10k,TotalEnergy,PeakToPeak,88.5053087501806,72.0262198303161,28.969365272963,-0.134476240969564
TotalEnergy,PeakToPeak,MainFreq_Hz,88.6179047980466,71.9548432420746,28.6628974192633,-0.137364628039063
BandE_0k_5k,ZeroCrossRate_Hz,SpectralCentroid_Hz,88.7484874620875,73.9065195097462,29.8662692392233,-0.140719018534839
PeakToPeak,Kurtosis,SpectralCentroid_Hz,88.7900254667595,69.5816420996308,30.107332091238,-0.141787076863147
BandE_5k_10k,ZeroCrossRate_Hz,Crest,89.2687666093049,74.0184520397474,30.499699160845,-0.154132925181151
MainFreq_Hz,ZeroCrossRate_Hz,SpectralCentroid_Hz,89.5747750042343,79.1173333544885,33.1102306528157,-0.162059094848352
MainFreq_Hz,ZeroCrossRate_Hz,Crest,89.6167215256262,76.0999684971659,31.8797689133718,-0.163147699308675
TotalEnergy,PeakToPeak,BandE_0k_5k,89.6737553435853,74.732553795121,29.5456393944765,-0.164628669883059
ZeroCrossRate_Hz,Crest,SpectralCentroid_Hz,89.8081900594921,77.5647113683736,32.8382079654442,-0.168123201418883
TotalEnergy,PeakToPeak,SpectralCentroid_Hz,90.0078757672052,73.0143565897454,29.511839281351,-0.173323547365314
BandE_5k_10k,MainFreq_Hz,Kurtosis,91.1629069302912,70.1248119894871,30.059101189374,-0.203630245583063
TotalEnergy,PeakToPeak,Crest,91.2980483883282,71.8398096958375,29.1723145927759,-0.207201454906054
Kurtosis,Crest,SpectralCentroid_Hz,92.1487127218539,76.4747279071048,30.3591837608639,-0.229802318526053
BandE_5k_10k,Duration_s,Kurtosis,93.6505302956915,55.3428159515409,23.5330134565923,-0.27021502014973
PeakToPeak,Duration_s,Kurtosis,94.179597606972,61.9798677372972,27.2292566779215,-0.284607411034951
TotalEnergy,PeakToPeak,ZeroCrossRate_Hz,94.3731941180683,75.0259453430241,28.408115124168,-0.289894142550203
PeakToPeak,Kurtosis,ZeroCrossRate_Hz,95.9632328372516,66.0402967317188,29.3528380163877,-0.333725646702282
MainFreq_Hz,Crest,SpectralCentroid_Hz,96.1195438006242,82.1932038543665,34.6446554195288,-0.338074098164773
MainFreq_Hz,Kurtosis,SpectralCentroid_Hz,97.3256097232438,81.1612870347873,35.1525139962469,-0.371863901365099
BandE_0k_5k,Crest,SpectralCentroid_Hz,97.5967068867198,79.6701389422282,32.8191977779124,-0.379517105542039
BandE_0k_5k,Kurtosis,ZeroCrossRate_Hz,98.6676949321749,77.4488002686795,32.3858604699948,-0.409959788183035
BandE_5k_10k,Crest,SpectralCentroid_Hz,99.5105470787082,74.5166690150274,31.2184651279478,-0.43415136244256
Duration_s,Kurtosis,Crest,102.963308620872,79.1788368983823,35.7157326367894,-0.535400725779711
MainFreq_Hz,Kurtosis,Crest,103.696058008161,81.6273629789267,36.3127398844619,-0.557332174468679
Kurtosis,ZeroCrossRate_Hz,SpectralCentroid_Hz,103.799472729015,81.0229775028473,33.2420583257055,-0.560439937333672
PeakAmp,Duration_s,Kurtosis,104.227288961557,72.8844101594595,31.9062439862616,-0.573329353006468
Duration_s,Kurtosis,ZeroCrossRate_Hz,104.442905212389,78.6338794363249,34.0467100690357,-0.579845617028347
TotalEnergy,Duration_s,Kurtosis,104.507183629337,54.7555375346089,25.423402502353,-0.581790818075247
BandE_0k_5k,Duration_s,Kurtosis,107.392451105552,77.4193881608742,34.0969583875145,-0.670337654700175
TotalEnergy,MainFreq_Hz,Kurtosis,107.735326549553,77.5976996791112,34.3178382017063,-0.681020566331184
TotalEnergy,BandE_0k_5k,Kurtosis,107.837623475489,75.3423322344325,33.8873393455431,-0.684214409673173
TotalEnergy,PeakToPeak,Kurtosis,113.67530587435,78.9952618112538,34.6722013509159,-0.871496524913337
BandE_5k_10k,Kurtosis,SpectralCentroid_Hz,116.156514731839,88.315815227705,38.0305448166965,-0.954087052859336
Duration_s,Kurtosis,SpectralCentroid_Hz,117.484125361627,84.5449367395888,38.3053744186227,-0.999010789284261
PeakToPeak,MainFreq_Hz,Kurtosis,135.900252738686,88.5702472931179,38.2885407078474,-1.674836808536
BandE_5k_10k,PeakToPeak,Kurtosis,140.078115671644,87.826300560881,40.5535256368097,-1.84182508891534
PeakToPeak,Kurtosis,Crest,141.202727745943,85.7194587720046,39.54709246955,-1.88763924168666
TotalEnergy,Kurtosis,Crest,141.981552541876,82.0938297310818,38.2763202385152,-1.91958150414746
PeakAmp,BandE_5k_10k,Kurtosis,146.894089526302,77.2219506831208,35.768193936394,-2.12511069803702
PeakAmp,PeakToPeak,Kurtosis,147.165504258389,80.980509077105,38.0359567557425,-2.13666983825693
PeakAmp,MainFreq_Hz,Kurtosis,152.912770359095,81.4945272495061,36.9193681305657,-2.38644693985135
PeakAmp,Kurtosis,SpectralCentroid_Hz,153.059568976157,79.3931817245549,36.4996293120623,-2.39295214344604
PeakAmp,Kurtosis,Crest,164.669111212704,78.3969646687197,36.6614208309385,-2.9271821487225
PeakAmp,BandE_0k_5k,Kurtosis,174.050130765087,81.2479075601022,39.2295740932267,-3.38738220983676
TotalEnergy,Kurtosis,SpectralCentroid_Hz,175.453727852009,95.3168890486378,45.2012567566927,-3.45843010155002
PeakAmp,TotalEnergy,Kurtosis,181.946101372134,93.8021880440817,44.0799442296017,-3.79448838173882
