Feat1,Feat2,Feat3,RMSE,MAE,MAPE_pct,R2
SpectralEntropy,PeakAmp,Bandwidth_Hz,227.882036644186,173.71819791994,29.3861525882218,0.806219496419238
SpectralEntropy,TotalEnergy,SpectralCentroid_Hz,233.177037530317,168.66185119946,30.526024249764,0.797109619555616
SpectralEntropy,BandE_5k_10k,Bandwidth_Hz,242.311501312816,167.122879465742,33.1849834178088,0.780902232376484
SpectralEntropy,Crest,Kurtosis,242.719520805137,170.94778628002,29.7013744793425,0.780163749680492
SpectralEntropy,Kurtosis,BandE_5k_10k,245.752786198686,181.699080095569,34.4870004178576,0.774634830351557
SpectralEntropy,BandE_5k_10k,Skewness,248.801319896682,177.810361993926,33.9970739047469,0.769008895382883
SpectralEntropy,HighLowBandRatio,PeakToPeak,248.840067565677,190.482947777363,35.1551195293999,0.768936941875404
SpectralEntropy,Bandwidth_Hz,PeakToPeak,250.081503763392,187.262968513646,34.3674162260471,0.766625693698572
SpectralEntropy,Kurtosis,SpectralCentroid_Hz,250.375086854347,183.167713098036,35.0116471675324,0.766077432706896
SpectralEntropy,BandE_5k_10k,PeakToPeak,250.816027664702,172.061026872064,33.9609788729814,0.765252775318049
SpectralEntropy,BandE_0k_5k,SpectralCentroid_Hz,250.945732352633,187.322607538467,29.2971254581839,0.765009922510316
SpectralEntropy,HighLowBandRatio,Bandwidth_Hz,251.197030321163,178.740799804442,35.4908054997184,0.764539047024588
SpectralEntropy,BandE_5k_10k,TotalEnergy,251.328931602911,177.797145327796,32.8848771770394,0.764291705282596
SpectralEntropy,ZeroCrossRate_Hz,Bandwidth_Hz,253.914239052107,179.009495641704,35.3944099028411,0.759417514262902
SpectralEntropy,PeakAmp,SpectralCentroid_Hz,254.951635122691,184.505965318922,34.3918844798427,0.7574476431054
SpectralEntropy,BandE_0k_5k,PeakToPeak,255.724812665986,180.334084525359,32.2438414176342,0.755974262474999
SpectralEntropy,BandE_0k_5k,Bandwidth_Hz,256.046598098161,180.384539032078,36.6086965038766,0.755359747747386
SpectralEntropy,TotalEnergy,PeakToPeak,256.456746300347,186.325101197311,35.7547977722005,0.754575366121521
SpectralEntropy,PeakAmp,HighLowBandRatio,256.508226048643,195.050378558,37.4036384447902,0.754476825789551
